episode,epsilon,total_reward
545.0,0.29548182727575856,7.0
546.0,0.2953817939313104,8.0
547.0,0.2952817605868623,8.0
548.0,0.29518172724241415,7.0
549.0,0.29508169389796596,-8.0
550.0,0.2949816605535178,-11.0
551.0,0.2948816272090697,7.0
552.0,0.29478159386462155,8.0
553.0,0.29468156052017336,8.0
554.0,0.2945815271757252,-11.0
555.0,0.2944814938312771,-11.0
556.0,0.29438146048682895,-10.0
557.0,0.29428142714238076,8.0
558.0,0.2941813937979326,-10.0
559.0,0.2940813604534845,-9.0
560.0,0.29398132710903635,-11.0
561.0,0.29388129376458816,10.0
562.0,0.29378126042014,-8.0
563.0,0.2936812270756919,-3.0
564.0,0.29358119373124375,-8.0
565.0,0.2934811603867956,8.0
566.0,0.2933811270423474,-9.0
567.0,0.2932810936978993,-11.0
568.0,0.29318106035345115,8.0
569.0,0.293081027009003,-8.0
570.0,0.2929809936645548,8.0
571.0,0.2928809603201067,10.0
572.0,0.29278092697565855,9.0
573.0,0.2926808936312104,8.0
574.0,0.2925808602867622,-9.0
575.0,0.2924808269423141,9.0
576.0,0.29238079359786595,8.0
577.0,0.2922807602534178,-8.0
578.0,0.2921807269089696,8.0
579.0,0.2920806935645215,8.0
580.0,0.29198066022007335,8.0
581.0,0.2918806268756252,-9.0
582.0,0.291780593531177,-4.0
583.0,0.2916805601867289,8.0
584.0,0.29158052684228075,8.0
585.0,0.2914804934978326,8.0
586.0,0.2913804601533844,-9.0
587.0,0.2912804268089363,-8.0
588.0,0.29118039346448815,-11.0
589.0,0.29108036012004,8.0
590.0,0.2909803267755918,8.0
591.0,0.2908802934311437,-10.0
592.0,0.29078026008669555,8.0
593.0,0.2906802267422474,-10.0
594.0,0.2905801933977992,8.0
595.0,0.29048016005335114,8.0
596.0,0.29038012670890295,8.0
597.0,0.2902800933644548,8.0
598.0,0.2901800600200066,7.0
599.0,0.29008002667555854,8.0
600.0,0.28997999333111035,-10.0
601.0,0.2898799599866622,10.0
602.0,0.289779926642214,8.0
603.0,0.28967989329776594,8.0
604.0,0.28957985995331775,8.0
605.0,0.2894798266088696,8.0
606.0,0.2893797932644214,-9.0
607.0,0.28927975991997334,8.0
608.0,0.28917972657552515,8.0
609.0,0.289079693231077,-11.0
610.0,0.2889796598866289,8.0
611.0,0.28887962654218075,-8.0
612.0,0.28877959319773255,8.0
613.0,0.2886795598532844,8.0
614.0,0.2885795265088363,8.0
615.0,0.28847949316438815,-10.0
616.0,0.28837945981993995,-9.0
617.0,0.2882794264754918,8.0
618.0,0.2881793931310437,8.0
619.0,0.28807935978659555,10.0
620.0,0.28797932644214735,8.0
621.0,0.2878792930976992,7.0
622.0,0.2877792597532511,-10.0
623.0,0.28767922640880295,-8.0
624.0,0.28757919306435475,-4.0
625.0,0.2874791597199066,-8.0
626.0,0.2873791263754585,8.0
627.0,0.28727909303101035,-9.0
628.0,0.28717905968656215,-10.0
629.0,0.287079026342114,-4.0
630.0,0.2869789929976659,8.0
631.0,0.28687895965321775,-3.0
632.0,0.28677892630876956,-3.0
633.0,0.2866788929643214,-4.0
634.0,0.2865788596198733,8.0
635.0,0.28647882627542515,-10.0
636.0,0.28637879293097696,10.0
637.0,0.2862787595865288,-10.0
638.0,0.2861787262420807,8.0
639.0,0.28607869289763255,8.0
640.0,0.2859786595531844,9.0
641.0,0.2858786262087362,8.0
642.0,0.2857785928642881,8.0
643.0,0.28567855951983995,7.0
644.0,0.2855785261753918,8.0
645.0,0.2854784928309436,9.0
646.0,0.2853784594864955,8.0
647.0,0.28527842614204735,8.0
648.0,0.2851783927975992,7.0
649.0,0.285078359453151,8.0
650.0,0.2849783261087029,8.0
651.0,0.28487829276425475,-3.0
652.0,0.2847782594198066,8.0
653.0,0.2846782260753584,8.0
654.0,0.2845781927309103,8.0
655.0,0.28447815938646215,8.0
656.0,0.284378126042014,-11.0
657.0,0.2842780926975658,8.0
658.0,0.2841780593531177,7.0
659.0,0.28407802600866955,-8.0
660.0,0.2839779926642214,-10.0
661.0,0.2838779593197732,8.0
662.0,0.2837779259753251,8.0
663.0,0.28367789263087695,-8.0
664.0,0.2835778592864288,8.0
665.0,0.2834778259419806,10.0
666.0,0.2833777925975325,-9.0
667.0,0.28327775925308435,10.0
668.0,0.2831777259086362,8.0
669.0,0.283077692564188,-3.0
670.0,0.28297765921973994,-8.0
671.0,0.28287762587529175,8.0
672.0,0.2827775925308436,-10.0
673.0,0.2826775591863954,8.0
674.0,0.28257752584194734,9.0
675.0,0.28247749249749915,8.0
676.0,0.282377459153051,8.0
677.0,0.2822774258086028,9.0
678.0,0.28217739246415474,8.0
679.0,0.28207735911970655,-10.0
680.0,0.2819773257752584,8.0
681.0,0.2818772924308102,-10.0
682.0,0.28177725908636214,8.0
683.0,0.28167722574191395,-11.0
684.0,0.2815771923974658,8.0
685.0,0.2814771590530176,-3.0
686.0,0.28137712570856954,8.0
687.0,0.28127709236412135,9.0
688.0,0.2811770590196732,8.0
689.0,0.2810770256752251,-8.0
690.0,0.28097699233077694,8.0
691.0,0.28087695898632875,-10.0
692.0,0.2807769256418806,8.0
693.0,0.2806768922974325,8.0
694.0,0.28057685895298434,-11.0
695.0,0.28047682560853615,-11.0
696.0,0.280376792264088,8.0
697.0,0.2802767589196399,-10.0
698.0,0.28017672557519174,-11.0
699.0,0.28007669223074355,8.0
700.0,0.2799766588862954,7.0
701.0,0.2798766255418473,-9.0
702.0,0.27977659219739914,7.0
703.0,0.27967655885295095,-9.0
704.0,0.2795765255085028,8.0
705.0,0.2794764921640547,-11.0
706.0,0.27937645881960654,8.0
707.0,0.27927642547515835,-4.0
708.0,0.2791763921307102,-10.0
709.0,0.2790763587862621,7.0
710.0,0.27897632544181394,-10.0
711.0,0.27887629209736575,-11.0
712.0,0.2787762587529176,8.0
713.0,0.2786762254084695,9.0
714.0,0.27857619206402134,-11.0
715.0,0.27847615871957315,-9.0
716.0,0.278376125375125,-10.0
717.0,0.2782760920306769,8.0
718.0,0.27817605868622874,8.0
719.0,0.2780760253417806,-10.0
720.0,0.2779759919973324,10.0
721.0,0.2778759586528843,8.0
722.0,0.27777592530843614,-8.0
723.0,0.277675891963988,-10.0
724.0,0.2775758586195398,8.0
725.0,0.2774758252750917,-3.0
726.0,0.27737579193064354,-3.0
727.0,0.2772757585861954,10.0
728.0,0.2771757252417472,7.0
729.0,0.2770756918972991,7.0
730.0,0.27697565855285095,-9.0
731.0,0.2768756252084028,-10.0
732.0,0.2767755918639546,-10.0
733.0,0.2766755585195065,7.0
734.0,0.27657552517505835,8.0
735.0,0.2764754918306102,7.0
736.0,0.276375458486162,-8.0
737.0,0.2762754251417139,-10.0
738.0,0.27617539179726575,9.0
739.0,0.2760753584528176,8.0
740.0,0.2759753251083694,8.0
741.0,0.2758752917639213,8.0
742.0,0.27577525841947315,8.0
743.0,0.275675225075025,-10.0
744.0,0.2755751917305768,-4.0
745.0,0.2754751583861287,7.0
746.0,0.27537512504168055,7.0
747.0,0.2752750916972324,7.0
748.0,0.2751750583527842,8.0
749.0,0.27507502500833614,-8.0
